id;type;autorisationNumber;startDate;endDate;userId
1;TRI;FI-513/21;2021-10-06 12:00:00;2024-03-31 12:00:00;243
2;TRE;FE-513/21;2021-04-02 12:00:00;2024-03-31 12:00:00;243
3;FI_ATPL;;2021-10-06 12:00:00;2024-03-31 12:00:00;243
4;TRI;FI-444/18;2021-12-23 12:00:00;2024-12-31 12:00:00;359
5;TRE;FE-444/18;2022-12-22 12:00:00;2025-12-31 12:00:00;359
6;FI_ATPL;;2021-12-23 12:00:00;2024-12-31 12:00:00;359
7;TRI;FI-463/18;2024-03-13 12:00:00;2027-02-28 12:00:00;367
8;TRE;FE-463/18;2024-03-13 12:00:00;2027-02-28 12:00:00;367
9;FI_ATPL;;2024-03-13 12:00:00;2027-02-28 12:00:00;367
10;TRI;FI-449/18;2024-02-27 12:00:00;2027-02-28 12:00:00;377
11;TRE;FE-449/18;2024-02-27 12:00:00;2027-02-28 12:00:00;377
12;FI_ATPL;;2024-02-27 12:00:00;2027-02-28 12:00:00;377
13;TRI;FI-508/21;2024-03-22 12:00:00;2027-03-31 12:00:00;378
14;TRE;FE-508/21;2024-03-22 12:00:00;2027-03-31 12:00:00;378
15;FI_ATPL;;2024-03-22 12:00:00;2027-03-31 12:00:00;378
16;TRI;FI-509/21;2021-10-06 12:00:00;2024-03-31 12:00:00;401
17;TRE;FE-509/21;2021-03-22 12:00:00;2024-03-31 12:00:00;401
18;FI_ATPL;;2021-10-06 12:00:00;2024-03-31 12:00:00;401
19;TRI;FI-452/18;2021-08-02 12:00:00;2024-07-31 12:00:00;402
20;TRE;FE-452/18;2022-11-07 12:00:00;2025-12-31 12:00:00;402
21;FI_ATPL;;2021-08-02 12:00:00;2024-07-31 12:00:00;402
22;TRI;FI-643/24;2024-01-15 12:00:00;2027-01-31 12:00:00;450
23;TRI;FI-525/21;2021-10-06 12:00:00;2024-05-31 12:00:00;459
24;TRE;FE-525/21;2021-06-02 12:00:00;2024-05-31 12:00:00;459
25;FI_ATPL;;2021-10-06 12:00:00;2024-05-31 12:00:00;459
26;TRI;FI-505/21;2024-02-21 12:00:00;2027-02-28 12:00:00;477
27;TRE;FE-505/21;2024-02-21 12:00:00;2027-02-28 12:00:00;477
28;FI_ATPL;;2024-02-21 12:00:00;2027-02-28 12:00:00;477
29;TRI;FI-602/22;2022-12-29 12:00:00;2025-12-31 12:00:00;683
30;FI_ATPL;;2022-12-29 12:00:00;2025-12-31 12:00:00;683
31;TRI;FI-561/22;2023-08-17 12:00:00;2025-05-31 12:00:00;684
32;TRE;FE-561/22;2023-08-02 12:00:00;2025-03-31 12:00:00;684
33;FI_ATPL;;2023-08-17 12:00:00;2025-03-31 12:00:00;684
34;TRI;FI-567/22;2022-05-31 12:00:00;2025-06-30 12:00:00;705
