id;line_check_id;date_of_origin;carrier;flight_number;start_station;end_station;aircraft_type
1;1;2022-11-01 12:00:00;;;;;
2;2;2023-05-02 12:00:00;;;;;
3;3;2025-01-01 12:00:00;;;;;
4;4;2026-01-02 12:00:00;;;;;
5;5;2022-06-05 12:00:00;;;;;
6;6;2023-04-06 12:00:00;;;;;
7;7;2023-03-06 12:00:00;;;;;
8;8;2023-02-04 12:00:00;;;;;
9;9;2025-04-02 12:00:00;;;;;
10;10;2023-03-10 12:00:00;;;;;
11;11;2024-05-10 12:00:00;;;;;
12;12;2024-12-11 12:00:00;;;;;
13;13;2021-04-11 12:00:00;;;;;
14;14;2023-10-11 12:00:00;;;;;
15;15;2024-11-11 12:00:00;;;;;
16;16;2021-08-05 12:00:00;;;;;
17;17;2023-06-06 12:00:00;;;;;
18;18;2025-06-06 12:00:00;;;;;
19;19;2021-04-04 12:00:00;;;;;
20;20;2024-05-03 12:00:00;;;;;
21;21;2024-12-04 12:00:00;;;;;
22;22;2022-07-02 12:00:00;;;;;
23;23;2023-04-02 12:00:00;;;;;
24;24;2025-09-02 12:00:00;;;;;
25;25;2022-12-09 12:00:00;;;;;
26;26;2022-04-09 12:00:00;;;;;
27;27;2024-11-09 12:00:00;;;;;
28;28;2022-01-05 12:00:00;;;;;
29;29;2023-02-06 12:00:00;;;;;
30;30;2023-02-06 12:00:00;;;;;
31;31;2023-09-06 12:00:00;;;;;
32;32;2023-12-06 12:00:00;;;;;
33;33;2022-05-01 12:00:00;;;;;
34;34;2022-08-02 12:00:00;;;;;
35;35;2024-08-01 12:00:00;;;;;
36;9;2025-04-02 12:00:00;;;;;
37;36;2022-08-03 12:00:00;;;;;
38;37;2023-01-08 12:00:00;;;;;
39;38;2024-08-01 12:00:00;;;;;
40;39;2022-05-07 12:00:00;;;;;
41;40;2022-04-07 12:00:00;;;;;
42;41;2023-10-06 12:00:00;;;;;
43;42;2023-03-03 12:00:00;;;;;
44;43;2025-06-03 12:00:00;;;;;
45;44;2024-04-03 12:00:00;;;;;
46;45;2021-11-07 12:00:00;;;;;
47;46;2023-06-07 12:00:00;;;;;
48;47;2024-05-07 12:00:00;;;;;
49;48;2021-06-09 12:00:00;;;;;
50;49;2023-08-09 12:00:00;;;;;
51;50;2025-05-09 12:00:00;;;;;
52;51;2022-03-03 12:00:00;;;;;
53;52;2023-05-03 12:00:00;;;;;
54;53;2024-02-03 12:00:00;;;;;
55;54;2024-09-01 12:00:00;;;;;
56;55;2024-01-02 12:00:00;;;;;
57;56;2022-10-04 12:00:00;;;;;
58;57;2024-10-04 12:00:00;;;;;
59;58;2025-03-04 12:00:00;;;;;
60;59;2022-04-05 12:00:00;;;;;
61;60;2023-01-06 12:00:00;;;;;
62;61;2023-06-06 12:00:00;;;;;
63;62;2023-01-06 12:00:00;;;;;
64;63;2025-01-05 12:00:00;;;;;
65;64;2023-04-03 12:00:00;;;;;
66;65;2024-06-03 12:00:00;;;;;
67;66;2025-07-03 12:00:00;;;;;
68;67;2022-06-07 12:00:00;;;;;
69;68;2022-06-07 12:00:00;;;;;
