id;dateOfOrigin;presenceMarked;instructorId
1;2023-07-30 12:00:00;1;433
2;2022-03-16 12:00:00;1;58
3;2021-06-16 12:00:00;1;738
4;2022-04-23 12:00:00;1;401
5;2022-12-11 12:00:00;1;393
6;2023-05-29 12:00:00;1;88
7;2021-02-17 12:00:00;1;402
8;2022-05-01 12:00:00;1;58
9;2024-03-10 12:00:00;1;401
10;2022-10-06 12:00:00;1;33
11;2023-04-25 12:00:00;1;386
12;2024-03-08 12:00:00;1;694
13;2021-08-16 12:00:00;1;90
14;2023-10-17 12:00:00;1;377
15;2024-01-30 12:00:00;1;739
16;2022-10-29 12:00:00;1;40
17;2022-02-18 12:00:00;1;32
18;2021-08-01 12:00:00;1;58
19;2021-07-30 12:00:00;1;242
20;2023-06-10 12:00:00;1;108
21;2024-03-19 12:00:00;1;477
22;2024-01-04 12:00:00;1;80
23;2023-09-12 12:00:00;1;359
24;2023-07-06 12:00:00;1;1571
25;2021-01-23 12:00:00;1;72
26;2023-07-20 12:00:00;1;477
27;2024-01-17 12:00:00;1;785
28;2021-11-15 12:00:00;1;477
29;2022-02-08 12:00:00;1;108
30;2022-12-12 12:00:00;1;66
31;2021-06-23 12:00:00;1;694
32;2024-03-11 12:00:00;1;89
33;2023-11-05 12:00:00;1;714
34;2023-06-27 12:00:00;1;477
35;2023-05-18 12:00:00;1;80
36;2023-11-27 12:00:00;1;684
37;2023-03-14 12:00:00;1;359
38;2021-05-28 12:00:00;1;66
39;2022-11-22 12:00:00;1;730
40;2024-02-25 12:00:00;1;739
41;2023-05-29 12:00:00;1;66
42;2023-08-01 12:00:00;1;714
43;2022-06-06 12:00:00;1;714
44;2023-12-11 12:00:00;1;80
45;2022-04-30 12:00:00;1;227
46;2022-03-12 12:00:00;1;764
47;2021-12-06 12:00:00;1;298
48;2022-05-16 12:00:00;1;89
49;2022-02-21 12:00:00;1;57
50;2022-02-16 12:00:00;1;402
51;2022-06-06 12:00:00;1;700
52;2023-01-30 12:00:00;1;477
53;2024-02-22 12:00:00;1;58
54;2022-06-13 12:00:00;1;65
55;2022-05-25 12:00:00;1;477
56;2022-10-11 12:00:00;1;700
57;2023-06-05 12:00:00;1;359
58;2021-04-13 12:00:00;1;154
59;2023-05-30 12:00:00;1;932
60;2022-06-28 12:00:00;1;227
61;2023-09-29 12:00:00;1;243
62;2023-06-13 12:00:00;1;377
63;2022-11-28 12:00:00;1;477
64;2023-09-15 12:00:00;1;805
65;2023-02-25 12:00:00;1;694
66;2024-01-09 12:00:00;1;722
67;2022-12-15 12:00:00;1;58
68;2024-04-08 12:00:00;1;401
69;2023-12-09 12:00:00;1;738
70;2021-06-13 12:00:00;1;58
71;2023-08-27 12:00:00;1;378
