id;date_of_origin;presence_marked;instructor_id
1;2022-11-01 12:00:00;1;72
2;2023-05-02 12:00:00;1;50
3;2025-01-01 12:00:00;1;57
4;2026-01-02 12:00:00;1;80
5;2022-06-05 12:00:00;1;23
6;2023-04-06 12:00:00;1;78
7;2023-03-06 12:00:00;1;78
8;2023-02-04 12:00:00;1;40
9;2025-04-02 12:00:00;1;57
10;2023-03-10 12:00:00;1;58
11;2024-05-10 12:00:00;1;40
12;2024-12-11 12:00:00;1;98
13;2021-04-11 12:00:00;1;57
14;2023-10-11 12:00:00;1;72
15;2024-11-11 12:00:00;1;80
16;2021-08-05 12:00:00;1;6963
17;2023-06-06 12:00:00;1;108
18;2025-06-06 12:00:00;1;146
19;2021-04-04 12:00:00;1;6954
20;2024-05-03 12:00:00;1;57
21;2024-12-04 12:00:00;1;146
22;2022-07-02 12:00:00;1;72
23;2023-04-02 12:00:00;1;40
24;2025-09-02 12:00:00;1;58
25;2022-12-09 12:00:00;1;58
26;2022-04-09 12:00:00;1;78
27;2024-11-09 12:00:00;1;146
28;2022-01-05 12:00:00;1;58
29;2023-02-06 12:00:00;1;72
30;2023-02-06 12:00:00;1;66
31;2023-09-06 12:00:00;1;108
32;2023-12-06 12:00:00;1;89
33;2022-05-01 12:00:00;1;50
34;2022-08-02 12:00:00;1;57
35;2024-08-01 12:00:00;1;50
36;2022-08-03 12:00:00;1;6963
37;2023-01-08 12:00:00;1;58
38;2024-08-01 12:00:00;1;80
39;2022-05-07 12:00:00;1;58
40;2022-04-07 12:00:00;1;23
41;2023-10-06 12:00:00;1;40
42;2023-03-03 12:00:00;1;6963
43;2025-06-03 12:00:00;1;89
44;2024-04-03 12:00:00;1;66
45;2021-11-07 12:00:00;1;57
46;2023-06-07 12:00:00;1;57
47;2024-05-07 12:00:00;1;57
48;2021-06-09 12:00:00;1;242
49;2023-08-09 12:00:00;1;748
50;2025-05-09 12:00:00;1;243
51;2022-03-03 12:00:00;1;66
52;2023-05-03 12:00:00;1;146
53;2024-02-03 12:00:00;1;146
54;2024-09-01 12:00:00;1;58
55;2024-01-02 12:00:00;1;212
56;2022-10-04 12:00:00;1;23
57;2024-10-04 12:00:00;1;72
58;2025-03-04 12:00:00;1;88
59;2022-04-05 12:00:00;1;6963
60;2023-01-06 12:00:00;1;98
61;2023-06-06 12:00:00;1;66
62;2023-01-06 12:00:00;1;65
63;2025-01-05 12:00:00;1;108
64;2023-04-03 12:00:00;1;58
65;2024-06-03 12:00:00;1;124
66;2025-07-03 12:00:00;1;78
67;2022-06-07 12:00:00;1;72
68;2022-06-07 12:00:00;1;78
69;2023-10-07 12:00:00;1;108
70;2022-09-05 12:00:00;1;6963
71;2024-04-04 12:00:00;1;57
72;2025-12-04 12:00:00;1;50
73;2022-11-05 12:00:00;1;72
74;2024-08-05 12:00:00;1;108
75;2026-03-04 12:00:00;1;235
76;2021-08-05 12:00:00;1;6954
77;2022-03-06 12:00:00;1;78
78;2023-12-05 12:00:00;1;64
79;2023-03-05 12:00:00;1;72
80;2025-06-05 12:00:00;1;98
81;2026-01-04 12:00:00;1;88
82;2023-04-05 12:00:00;1;66
83;2023-04-05 12:00:00;1;89
84;2025-05-05 12:00:00;1;88
85;2024-09-04 12:00:00;1;58
86;2024-05-01 12:00:00;1;212
87;2021-05-06 12:00:00;1;6963
88;2023-04-06 12:00:00;1;108
89;2024-11-06 12:00:00;1;64
90;2022-12-12 12:00:00;1;66
91;2025-03-11 12:00:00;1;40
92;2023-05-05 12:00:00;1;66
93;2023-03-05 12:00:00;1;57
94;2023-11-05 12:00:00;1;88
95;2025-02-05 12:00:00;1;24
96;2023-07-08 12:00:00;1;50
97;2022-11-07 12:00:00;1;50
98;2024-12-08 12:00:00;1;64
99;2022-12-06 12:00:00;1;58
100;2023-10-06 12:00:00;1;108
101;2023-11-04 12:00:00;1;72
102;2025-06-04 12:00:00;1;88
103;2022-10-06 12:00:00;1;72
104;2025-06-06 12:00:00;1;23
105;2021-06-01 12:00:00;1;148
106;2023-01-02 12:00:00;1;344
107;2024-11-01 12:00:00;1;359
108;2026-07-01 12:00:00;1;700
109;2022-07-06 12:00:00;1;7097
110;2023-04-04 12:00:00;1;24
111;2024-08-04 12:00:00;1;419
112;2022-10-06 12:00:00;1;66
113;2022-06-06 12:00:00;1;89
114;2025-02-06 12:00:00;1;64
115;2024-11-05 12:00:00;1;124
116;2023-04-01 12:00:00;1;58
117;2024-06-01 12:00:00;1;78
118;2022-11-12 12:00:00;1;23
119;2023-11-12 12:00:00;1;80
120;2024-02-04 12:00:00;1;66
121;2025-01-04 12:00:00;1;66
122;2024-02-04 12:00:00;1;23
123;2025-03-05 12:00:00;1;58
124;2023-06-05 12:00:00;1;72
125;2023-01-12 12:00:00;1;23
