id;employee_id;course_id;old_butee_date;is_long_absence;quiz_history_id;evaluation_id;renewal_formir49_id;quiz_passed;is_present;moring_presence;afternoon_presence;level
1;6915;1726;2022-06-30 12:00:00;;;;;;;;;
2;402;1731;2022-12-31 12:00:00;;;;;;;;;
3;402;1802;2023-12-31 12:00:00;;;;;;;;;
4;402;1834;2024-12-31 12:00:00;;;;;;;;;
5;730;1731;2022-12-31 12:00:00;;;;;;;;;
6;730;1802;2023-12-31 12:00:00;;;;;;;;;
7;730;1834;2024-12-31 12:00:00;;;;;;;;;
8;1606;1731;2022-12-31 12:00:00;;;;;;;;;
9;1606;1802;2023-12-31 12:00:00;;;;;;;;;
10;1606;1834;2024-12-31 12:00:00;;;;;;;;;
11;196;1803;2023-05-31 12:00:00;;;;;;;;;
12;196;1802;2023-12-31 12:00:00;;;;;;;;;
13;196;1834;2024-12-31 12:00:00;;;;;;;;;
14;2546;1702;2022-12-31 12:00:00;;;;;;;;;
15;2546;1743;2023-12-31 12:00:00;;;;;;;;;
16;2546;1830;2024-12-31 12:00:00;;;;;;;;;
17;7072;1748;2023-11-30 12:00:00;;;;;;;;;
18;7072;1831;2024-11-30 12:00:00;;;;;;;;;
19;7058;1748;2023-11-30 12:00:00;;;;;;;;;
20;7058;1831;2024-11-30 12:00:00;;;;;;;;;
21;7089;1748;2023-11-30 12:00:00;;;;;;;;;
22;7089;1831;2024-11-30 12:00:00;;;;;;;;;
23;2475;1703;2023-02-28 12:00:00;;;;;;;;;
24;2475;1733;2024-02-29 12:00:00;;;;;;;;;
25;6943;1762;2023-12-31 12:00:00;;;;;;;;;
26;6943;1831;2024-12-31 12:00:00;;;;;;;;;
27;7059;1762;2023-12-31 12:00:00;;;;;;;;;
28;7059;1857;2024-09-30 12:00:00;;;;;;;;;
29;298;1737;2022-11-30 12:00:00;;;;;;;;;
30;298;1742;2023-11-30 12:00:00;;;;;;;;;
31;298;1831;2024-11-30 12:00:00;;;;;;;;;
32;832;1822;2023-03-31 12:00:00;;;;;;;;;
33;832;1743;2023-12-31 12:00:00;;;;;;;;;
